B2,B3,B4,B5,B6,B7
0.02115,0.03975,0.02355,0.1888,0.08285,0.04045
0.1804,0.1694,0.1597,0.1982,0.0382,0.0363
0.246,0.22325,0.20495,0.22325,0.0477,0.048
0.0236,0.04085,0.0236,0.15985,0.08765,0.044
0.02425,0.04485,0.03245,0.2564,0.09935,0.0526
0.03905,0.05735,0.0485,0.23095,0.13975,0.079
0.0526,0.06965,0.0671,0.2623,0.19845,0.12185
0.0299,0.0546,0.0358,0.1717,0.0699,0.0449
0.02445,0.04865,0.0313,0.25995,0.09265,0.0452
0.0265,0.04405,0.03005,0.19915,0.08335,0.04105
0.0248,0.0328,0.02485,0.0981,0.0522,0.0342
0.0244,0.0463,0.0331,0.2441,0.1087,0.0555
0.0226,0.0441,0.0332,0.1833,0.0964,0.049
0.0459,0.0641,0.0528,0.1811,0.1331,0.0792
0.0318,0.0536,0.0444,0.1878,0.134,0.0752
0.0405,0.0634,0.058,0.1954,0.1561,0.0981
0.04235,0.0627,0.0581,0.24095,0.1833,0.1039
0.0417,0.0545,0.0519,0.22425,0.15005,0.1055
0.03645,0.054,0.0498,0.19535,0.136,0.0825
0.0358,0.05685,0.0535,0.18265,0.1212,0.0856
0.0454,0.0646,0.0703,0.194,0.1616,0.1199
0.0389,0.07065,0.062,0.3283,0.18255,0.11235
0.0317,0.0247,0.0177,0.0166,0.0182,0.0163
0.0256,0.0132,0.0032,0.0012,0.0072,0.0077
0.0367,0.0251,0.0169,0.0137,0.0136,0.01165
